qid,lat,lon,sitelinks,iso
Q229906,47.37000,8.54167,6,CH
Q229912,47.37064,8.54331,6,CH
Q239080,46.99083,6.92056,5,CH
Q241013,47.35820,8.79255,6,CH
Q241651,47.52231,7.64553,8,CH
Q246105,46.94806,7.44778,25,CH
Q246924,46.17519,8.79384,10,CH
Q247322,46.94803,7.44922,7,CH
Q248117,46.56070,7.89280,5,CH
Q248693,47.35360,8.55211,5,CH
Q252513,47.37240,8.53224,7,CH
Q258518,46.67597,9.69294,6,CH
Q260102,46.94243,7.43619,5,CH
Q265890,47.24571,7.76338,5,CH
Q269667,47.55389,7.79583,51,CH
Q277174,46.95556,8.27694,20,CH
Q277177,46.40889,10.01972,27,CH
Q287585,45.90000,9.05000,16,CH
Q289898,46.47222,9.72778,19,CH
