qid,tier,lat,lon,radius_km,iso
Q5861757,ich_national,39.91250,-5.20222,60,ES
Q5861770,ich_national,42.22889,-2.04972,60,ES
Q5861769,ich_national,43.15361,-4.62333,60,ES
Q5861772,ich_national,43.26829,-4.98587,60,ES
Q5861777,ich_national,39.68322,-3.77278,60,ES
Q5861795,ich_national,38.10750,-1.86000,60,ES
Q5861827,ich_national,42.47000,-2.44556,60,ES
Q5861825,ich_national,42.14010,-0.40890,60,ES
Q5861870,ich_national,39.82358,-0.23170,60,ES
Q5886937,ich_national,41.50333,-5.75556,60,ES
Q5887906,ich_national,43.26167,-4.06528,60,ES
Q107615657,ich_national,30.04444,31.23583,60,EG
Q108759512,ich_national,-2.00000,118.00000,60,ID
Q108808119,ich_national,-2.00000,118.00000,60,ID
Q108808117,ich_national,-2.00000,118.00000,60,ID
Q108927805,ich_national,37.04027,-2.20119,60,ES
Q109011206,ich_national,-1.80139,133.67056,60,ID
Q109476759,ich_national,37.02168,-2.95262,60,ES
Q109476826,ich_national,37.02168,-2.95262,60,ES
Q109477155,ich_national,37.02168,-2.95262,60,ES
Q109478246,ich_national,36.99783,-2.77324,60,ES
Q109598841,ich_national,33.54150,129.89443,60,JP
Q23459413,ich_national,40.48212,-3.36701,60,ES
Q23459536,ich_national,40.48218,-3.37185,60,ES
Q23459602,ich_national,40.99194,-3.63889,60,ES
Q23540583,ich_national,37.40889,-4.48528,60,ES
Q12388467,ich_national,42.28821,-8.14313,60,ES
Q12388474,ich_national,42.19008,-7.80180,60,ES
Q12388477,ich_national,42.56275,-8.58558,60,ES
Q12388482,ich_national,42.43165,-8.07751,60,ES
Q12388480,ich_national,42.47503,-7.98601,60,ES
Q12388481,ich_national,43.46056,-8.25361,60,ES
Q12388485,ich_national,43.01167,-7.55722,60,ES
Q12388488,ich_national,42.88333,-8.53333,60,ES
Q12388642,ich_national,42.60833,-7.76889,60,ES
Q12399211,ich_national,42.63040,-8.22216,60,ES
Q12399215,ich_national,42.44917,-8.63222,60,ES
Q12399212,ich_national,43.49667,-7.14333,60,ES
Q12400240,ich_national,42.27790,-8.78984,60,ES
Q11280345,ich_national,35.04578,135.74205,60,JP
Q11360688,ich_national,35.80721,137.24395,60,JP
Q11381803,ich_national,34.61135,135.49245,60,JP
Q11412652,ich_national,34.67672,133.86386,60,JP
Q11413521,ich_national,35.47819,138.79414,60,JP
Q11445444,ich_national,34.70440,135.83421,60,JP
Q11459006,ich_national,33.88553,130.87345,60,JP
Q11487200,ich_national,40.60390,140.46490,60,JP
Q11489206,ich_national,33.72225,135.98283,60,JP
Q11513690,ich_national,34.68020,135.84913,60,JP
Q11547768,ich_national,40.27150,140.76667,60,JP
Q11553660,ich_national,35.53106,138.77494,60,JP
Q11565101,ich_national,34.24939,133.91906,60,JP
Q11568981,ich_national,33.73209,135.98361,60,JP
Q11570011,ich_national,37.31436,138.79508,60,JP
Q11580506,ich_national,33.33214,130.32554,60,JP
Q11588063,ich_national,34.38056,136.80881,60,JP
Q11590475,ich_national,34.20858,139.13488,60,JP
Q11598643,ich_national,32.74914,129.88794,60,JP
Q11611120,ich_national,34.51608,135.69464,60,JP
Q11611151,ich_national,34.65464,135.51639,60,JP
Q11612004,ich_national,37.20000,136.90000,60,JP
Q11612202,ich_national,35.94262,139.39727,60,JP
Q11630000,ich_national,39.19956,140.40322,60,JP
Q11907722,ich_national,42.11667,0.48333,60,ES
Q11915705,ich_national,41.23389,1.80417,60,ES
Q11921892,ich_national,41.40014,2.15767,60,ES
Q11921918,ich_national,40.81250,0.52111,60,ES
Q11922101,ich_national,38.99042,-0.51852,60,ES
Q11947723,ich_national,41.66570,1.27100,60,ES
Q11949578,ich_national,41.37641,1.16387,60,ES
Q12159764,ich_national,48.28000,26.01000,60,UA
Q12388339,ich_national,43.66050,-7.35820,60,ES
Q12388466,ich_national,42.64887,-8.81737,60,ES
Q23541310,ich_national,42.75000,-0.81667,60,ES
Q23541308,ich_national,40.34361,-1.10722,60,ES
Q23541312,ich_national,42.19056,0.33833,60,ES
Q23541328,ich_national,41.35000,-1.63333,60,ES
Q23615758,ich_national,40.35847,0.40683,60,ES
Q23617579,ich_national,41.33083,-1.79278,60,ES
Q23617764,ich_national,41.47278,-1.87361,60,ES
Q23617942,ich_national,42.14010,-0.40890,60,ES
Q23618106,ich_national,41.23667,-0.03957,60,ES
Q23639912,ich_national,42.03654,0.12718,60,ES
Q23640009,ich_national,41.90444,-1.72417,60,ES
Q23640138,ich_national,40.88333,0.15000,60,ES
Q23640203,ich_national,42.55000,-0.55000,60,ES
Q23640206,ich_national,41.92032,-1.25472,60,ES
Q23640213,ich_national,40.14151,-0.81425,60,ES
Q23640219,ich_national,40.54708,-1.03320,60,ES
Q23640239,ich_national,42.12728,-1.13843,60,ES
Q23640245,ich_national,42.27667,-0.68917,60,ES
Q23640575,ich_national,38.94139,-3.23944,60,ES
Q23640572,ich_national,38.86821,-1.09786,60,ES
Q23640584,ich_national,38.63978,-3.36481,60,ES
Q23640591,ich_national,38.76667,-4.81667,60,ES
Q23640594,ich_national,38.96472,-3.89111,60,ES
Q23640597,ich_national,39.20696,-2.16038,60,ES
Q23640600,ich_national,38.98333,-3.91667,60,ES
Q23640623,ich_national,38.95000,-2.53306,60,ES
Q23641859,ich_national,40.88333,0.13333,60,ES
Q23641879,ich_national,41.32909,-1.78635,60,ES
