WDPAID,NAME,IUCN_CAT,GIS_AREA,ISO3,latitude,longitude
555571682,Onuma,IV,169.30,JPN,42.00020,140.68123
555571716,Tokyodaigaku fuzoku hokkaido enshurin,IV,110.54,JPN,43.27750,142.61371
555571723,Toyako,IV,75.78,JPN,42.60192,140.85583
555571754,Shiroishiyama,IV,33.09,JPN,35.89851,138.87140
555571761,Hakuho,IV,203.48,JPN,35.66143,138.27129
555571762,Yatsugatake,IV,69.80,JPN,35.92576,138.38565
555571776,Hobashirayama,IV,36.16,JPN,33.82000,130.79341
555571779,Fukuokashi,IV,193.62,JPN,33.60850,130.35656
555571784,Notoroko,IV,58.26,JPN,44.05801,144.14792
555571790,Hakodake,IV,35.02,JPN,44.66198,142.41566
555571815,Hokudai nakagawa kenkyurin,IV,193.50,JPN,44.81463,142.16766
555571817,Hokudai tomakomai kenkyurin,IV,27.31,JPN,42.68850,141.59469
555571838,Yukuru wakasanai,IV,30.23,JPN,45.10824,141.62835
555571845,Rishiri,IV,173.45,JPN,45.17747,141.23248
555571850,Rebun,IV,64.79,JPN,45.36315,141.02127
555571871,Osorezan,IV,27.44,JPN,41.31499,141.07541
555571873,Kuwahatayama,IV,25.55,JPN,41.39435,141.41280
555571890,Same,IV,36.68,JPN,40.51859,141.58995
555571900,Kodomari,IV,31.70,JPN,41.19544,140.35140
555571910,Ominato,IV,43.92,JPN,41.25221,141.17765
555571960,Iwate machi,IV,39.26,JPN,40.01945,141.18183
555571977,Miyakoshi miyakowan,IV,26.41,JPN,39.61899,141.97942
555572002,Yamada machi yamadawan,IV,27.38,JPN,39.46395,141.98566
555572012,Koiwai nojo,IV,31.47,JPN,39.75992,141.00892
555572014,Yakeishi renpo,IV,70.82,JPN,39.16698,140.84892
555572032,Hayachinesan,IV,82.11,JPN,39.55225,141.47807
555572043,Tochigamori,IV,58.33,JPN,39.08899,140.80765
555572071,Hanayama,IV,30.53,JPN,38.80317,140.85742
555572073,Kamafusa,IV,26.26,JPN,38.19351,140.69322
555572085,Kurikoma,IV,183.49,JPN,38.86379,140.72891
555572096,Matsushima,IV,121.10,JPN,38.33494,141.08326
555572107,Sendai,IV,134.49,JPN,38.28850,140.88383
555572110,Funaoka,IV,32.39,JPN,38.05363,140.73007
555572111,Funagata,IV,55.03,JPN,38.41471,140.63485
555572115,Zao renpo,IV,275.20,JPN,38.20062,140.51276
555572117,Osaki seibu,IV,61.30,JPN,38.55460,140.59193
555572163,Tamagawa,IV,33.90,JPN,39.85089,140.77105
555572165,Komagatake,IV,26.52,JPN,39.77754,140.80522
555572166,Kurikoma,IV,109.16,JPN,38.95038,140.68538
555572204,Nibetsu,IV,32.73,JPN,39.80515,140.26156
555572244,Tazawako,IV,44.02,JPN,39.72037,140.66341
555572266,Hachimantai,IV,175.72,JPN,39.84411,140.91425
555572284,Hokodate,IV,26.82,JPN,39.14319,140.00465
555572301,Wagadake,IV,73.11,JPN,39.64312,140.75909
555572303,Haraikawa,IV,36.74,JPN,39.11504,140.10176
555572318,Azuma,IV,62.17,JPN,37.76710,140.18453
555572321,Takasaka,IV,25.04,JPN,39.03601,140.17602
555572330,Kamuro,IV,39.93,JPN,38.89216,140.45822
555572334,Zao,IV,54.98,JPN,38.15911,140.42878
555572342,Tamugimata,IV,59.87,JPN,38.51408,139.91367
555572352,Mayasan,IV,25.59,JPN,38.52478,139.73175
555572353,Kijiyama-nogawa,IV,29.46,JPN,38.13175,139.94617
555572365,Okutadami,IV,186.32,JPN,37.10042,139.30896
555572386,Azumayama,IV,74.55,JPN,37.72086,140.20680
555572454,Hakaseyama,IV,26.28,JPN,37.34274,139.75050
555572465,Oze,IV,61.76,JPN,36.96516,139.29175
555572484,Urabandai,IV,163.16,JPN,37.69092,140.07637
555572497,Shimotsuma,IV,27.99,JPN,36.21624,139.93530
555572499,Kasumigaura,IV,50.01,JPN,36.05668,140.28121
555572511,Takaoka,IV,43.79,JPN,36.76532,140.64566
555572582,Shiobara,IV,26.33,JPN,36.94110,139.78382
555572641,Nasu miyma,IV,119.00,JPN,37.09978,139.96773
555572644,Nikko,IV,217.63,JPN,36.74394,139.46617
555572677,Marunuma sugenuma,IV,34.65,JPN,36.81316,139.35838
555572694,Akagiyama,IV,28.58,JPN,36.53883,139.15398
555572696,Sennokurayama,IV,27.51,JPN,36.80070,138.86701
555572698,Kusatsu,IV,35.77,JPN,36.63312,138.56796
555572704,Tanikawadake,IV,41.14,JPN,36.84540,138.93161
555572710,Oze,IV,105.28,JPN,36.91035,139.25163
555572711,Hanamagariyama,IV,30.06,JPN,36.43646,138.69665
555572727,Okuchichibu,IV,64.24,JPN,35.90840,138.83130
555572773,Ryokamisan,IV,28.33,JPN,36.02332,138.84293
555572777,Isumi,IV,46.31,JPN,35.22278,140.31296
555572791,Takagoyama,IV,25.14,JPN,35.18996,139.97189
555572837,Okutama,IV,25.59,JPN,35.86386,138.98907
555572841,Mitake,IV,26.55,JPN,35.78500,139.16414
555572843,Takao,IV,46.33,JPN,35.63822,139.23092
555572863,Tamagawa,IV,50.64,JPN,35.66649,139.48864
555572867,Tokyoko,IV,119.42,JPN,35.59540,139.80355
555572889,Kamakura,IV,39.69,JPN,35.33348,139.54092
555572946,Tanzawa oyama,IV,179.63,JPN,35.45486,139.10819
555572956,Hakone,IV,98.69,JPN,35.22258,139.04776
555572980,Echigosanzan,IV,46.72,JPN,37.13462,139.05605
555572999,Saburuyama,IV,43.95,JPN,36.78460,138.71291
555573006,Sumon,IV,42.05,JPN,37.40084,139.14646
555573009,Jujikyo,IV,91.94,JPN,37.03950,139.01656
555573015,Niigata kakuda,IV,46.52,JPN,37.86231,138.94096
555573026,Tainai,IV,34.55,JPN,37.97031,139.53715
555573035,Yunotani okutadamiko,IV,364.52,JPN,37.12204,139.16780
555573041,Hakubarenge,IV,81.12,JPN,36.83276,137.78545
555573045,Naebasan,IV,39.17,JPN,36.85708,138.71348
