qid,tier,lat,lon,sitelinks,iso
n14104634231,institution,37.85173,138.92497,0,JP
n14075994267,craft_cluster,37.83538,138.94332,0,JP
n14063021861,craft_cluster,37.85502,138.93728,0,JP
n14060648679,institution,37.85756,138.93882,0,JP
n14045051023,craft_cluster,37.86305,138.94995,0,JP
n14019364782,craft_cluster,37.87575,138.95401,0,JP
n14016901262,craft_cluster,37.87729,138.95583,0,JP
n13991694705,craft_cluster,37.87299,138.96744,0,JP
n13976707532,craft_cluster,37.87596,138.97898,0,JP
n13979326493,craft_cluster,37.87188,138.97589,0,JP
n13973776801,craft_cluster,37.87950,138.97656,0,JP
n13976537766,craft_cluster,37.87824,138.97644,0,JP
n13924657724,craft_cluster,37.87939,138.98820,0,JP
n13927650239,craft_cluster,37.87789,138.98816,0,JP
n13927762258,craft_cluster,37.87791,138.98635,0,JP
n13939526658,craft_cluster,37.88474,138.98559,0,JP
n13892912130,craft_cluster,37.89572,138.98750,0,JP
n13927858341,craft_cluster,37.87648,138.99154,0,JP
n13927650240,craft_cluster,37.87724,138.98887,0,JP
n13919222061,craft_cluster,37.87770,138.99740,0,JP
n13859529116,craft_cluster,37.88985,139.00065,0,JP
n13859529938,craft_cluster,37.88876,139.00269,0,JP
n13451881685,craft_cluster,37.88614,139.01055,0,JP
n13859803912,craft_cluster,37.88843,139.00842,0,JP
n4220706307,craft_cluster,37.87397,139.02543,0,JP
n13457275722,institution,37.90797,139.00220,0,JP
n13465442799,institution,37.91176,139.01115,0,JP
n4220611250,craft_cluster,37.89626,139.02922,0,JP
n12898713491,craft_cluster,37.90662,139.03391,0,JP
n13485261552,craft_cluster,37.91192,139.02806,0,JP
n13485393648,craft_cluster,37.91034,139.02571,0,JP
n13503155457,institution,37.91973,139.03095,0,JP
n4200225112,institution,37.91626,139.04047,0,JP
n13505959196,institution,37.92119,139.03663,0,JP
n13742290091,institution,37.92661,139.03400,0,JP
n13747411646,institution,37.92664,139.03776,0,JP
n12714908518,craft_cluster,37.89573,139.04366,0,JP
n11971141158,craft_cluster,37.88489,139.06842,0,JP
n12799612428,craft_cluster,37.90629,139.04410,0,JP
n10059973673,craft_cluster,37.90594,139.04802,0,JP
n10059973674,craft_cluster,37.90590,139.04804,0,JP
n10057718421,craft_cluster,37.90102,139.06654,0,JP
n3898617535,institution,37.91183,139.04875,0,JP
n4198183700,craft_cluster,37.91969,139.04376,0,JP
n4198186296,institution,37.92061,139.04484,0,JP
n4198186691,craft_cluster,37.91788,139.04230,0,JP
n4198235849,craft_cluster,37.91891,139.04500,0,JP
n4198235851,craft_cluster,37.91989,139.04556,0,JP
n4208566234,institution,37.92066,139.04424,0,JP
n4208566236,craft_cluster,37.92014,139.04399,0,JP
n13809814215,market,37.91998,139.04639,0,JP
n14098478727,institution,37.92237,139.04691,0,JP
n4448575180,institution,37.91607,139.05317,0,JP
n13731128541,craft_cluster,37.92102,139.04902,0,JP
n3648458078,institution,37.91451,139.05953,0,JP
n5736504121,institution,37.91248,139.05745,0,JP
n4223482590,institution,37.91707,139.05705,0,JP
n13869439382,institution,37.91853,139.05598,0,JP
n14040356624,institution,37.91765,139.05673,0,JP
n13018255579,craft_cluster,37.92175,139.06661,0,JP
n13003604399,craft_cluster,37.91686,139.06888,0,JP
n13022218179,craft_cluster,37.92069,139.07273,0,JP
n13047664558,craft_cluster,37.91798,139.08022,0,JP
n13049386378,craft_cluster,37.91890,139.08273,0,JP
n13097683777,craft_cluster,37.92013,139.08905,0,JP
n3914429043,market,37.88468,139.12971,0,JP
n13104966499,craft_cluster,37.91491,139.09660,0,JP
n4198132689,institution,37.92243,139.04680,0,JP
n13807633355,craft_cluster,37.92737,139.05032,0,JP
n13746732165,craft_cluster,37.93219,139.05056,0,JP
n13748837003,craft_cluster,37.92903,139.04815,0,JP
n13805227237,craft_cluster,37.93138,139.04932,0,JP
n13805239956,craft_cluster,37.92950,139.04840,0,JP
n13809814213,market,37.92962,139.04831,0,JP
n13807696156,craft_cluster,37.92632,139.05482,0,JP
