id,lat,lon,kind,weight,tag
Q860726,75.08722,148.45833,A3,0.7,Q23442
Q864870,-9.10306,160.15056,A3,0.7,Q23442
Q865051,-52.15000,-60.90000,A3,0.7,Q23442
Q866190,22.16139,113.90833,A3,0.7,Q23442
Q866344,49.87290,-6.44571,A3,0.7,Q23442
Q866345,26.65000,-78.31667,A3,0.7,Q23442
Q867214,3.48361,72.87778,A3,0.7,Q23442
Q867300,56.32330,-7.11500,A3,0.7,Q23442
Q867325,3.16778,172.82583,A3,0.7,Q23442
Q867443,60.36667,22.16667,A3,0.7,Q23442
Q867864,-7.00000,156.96667,A3,0.7,Q23442
Q868480,56.44171,-6.16317,A3,0.7,Q23442
Q868952,35.44709,25.21878,A3,0.7,Q23442
Q870844,1.24800,103.83000,A3,0.7,Q23442
Q873613,75.45000,143.85000,A3,0.7,Q23442
Q875301,34.27556,132.30778,A3,0.7,Q23442
Q879332,42.97500,16.01111,A3,0.7,Q23442
Q879893,55.06420,10.24910,A3,0.7,Q23442
Q880326,-78.21389,166.40444,A3,0.7,Q23442
Q884674,41.16667,-71.58333,A3,0.7,Q23442
Q886246,42.40580,18.70420,A3,0.7,Q23442
Q926716,55.75000,10.30000,A3,0.7,Q23442
Q926884,42.66806,18.05778,A3,0.7,Q23442
Q927869,-12.64472,45.03139,A3,0.7,Q23442
Q928075,14.38556,120.57306,A3,0.7,Q23442
Q928418,37.80972,-25.21417,A3,0.7,Q23442
Q928611,58.21560,-151.84000,A3,0.7,Q23442
Q928624,58.52530,-152.50500,A3,0.7,Q23442
Q928684,58.85250,-2.91500,A3,0.7,Q23442
Q928983,43.80000,15.62000,A3,0.7,Q23442
Q931014,-8.76667,158.18333,A3,0.7,Q23442
Q931028,57.12690,-153.17900,A3,0.7,Q23442
Q931179,22.20000,114.11667,A3,0.7,Q23442
Q931770,59.35306,-2.89099,A3,0.7,Q23442
Q932332,60.13333,-2.06667,A3,0.7,Q23442
Q933185,40.74660,-73.96439,A3,0.7,Q23442
Q933219,29.46284,34.86005,A3,0.7,Q23442
Q933459,51.75000,4.11667,A3,0.7,Q23442
Q935618,39.88330,4.28333,A3,0.7,Q23442
Q935821,69.33333,17.50000,A3,0.7,Q23442
Q935871,55.43180,-7.23771,A3,0.7,Q23442
Q937204,48.69566,-122.67073,A3,0.7,Q23442
Q937581,54.12722,-165.49972,A3,0.7,Q23442
Q937908,-9.75000,-139.00000,A3,0.7,Q23442
Q938563,12.30000,123.50000,A3,0.7,Q23442
Q938581,-40.00000,148.11667,A3,0.7,Q23442
Q938932,7.38333,151.71667,A3,0.7,Q23442
Q939912,-8.01611,125.74389,A3,0.7,Q23442
Q940254,54.91670,-162.31600,A3,0.7,Q23442
Q940674,6.76583,73.17583,A3,0.7,Q23442
Q940773,-23.92667,-130.73722,A3,0.7,Q23442
Q941265,12.10361,102.35194,A3,0.7,Q23442
Q941270,59.08970,-2.95111,A3,0.7,Q23442
Q941272,56.91920,-7.44306,A3,0.7,Q23442
Q941273,-0.32028,32.24389,A3,0.7,Q23442
Q942422,12.10000,53.26667,A3,0.7,Q23442
Q942466,44.27438,14.76275,A3,0.7,Q23442
Q942626,34.47250,139.29389,A3,0.7,Q23442
Q944257,-46.77500,167.63333,A3,0.7,Q23442
Q944319,-2.50000,175.98333,A3,0.7,Q23442
Q944346,81.12556,90.92806,A3,0.7,Q23442
Q944594,-9.98222,-138.82389,A3,0.7,Q23442
Q944666,29.07222,48.49333,A3,0.7,Q23442
Q944832,1.38263,7.28265,A3,0.7,Q23442
Q945144,0.25361,73.10500,A3,0.7,Q23442
Q945712,49.73000,-2.25167,A3,0.7,Q23442
Q949090,14.15000,145.20000,A3,0.7,Q23442
Q949457,35.90370,14.50210,A3,0.7,Q23442
Q950165,-50.49583,166.29556,A3,0.7,Q23442
Q950875,11.49839,-85.62554,A3,0.7,Q23442
Q950908,40.62250,27.63000,A3,0.7,Q23442
Q951302,58.41667,22.50000,A3,0.7,Q23442
Q951667,37.29000,27.08500,A3,0.7,Q23442
Q952279,59.88444,10.72028,A3,0.7,Q23442
Q952882,-8.51667,157.31667,A3,0.7,Q23442
Q953424,69.27293,59.09785,A3,0.7,Q23442
Q954059,41.86778,140.11430,A3,0.7,Q23442
Q954488,39.69750,-31.10528,A3,0.7,Q23442
