qid,lat,lon
Q3411095,45.71166,2.95828
Q3411096,45.88030,2.97780
Q3411100,45.86010,2.98370
Q3411101,45.87890,3.03361
Q3411102,45.70540,2.96335
Q3411104,45.80950,2.98059
Q3411123,45.82780,2.95500
Q3412754,13.83800,-61.04600
Q3437336,45.11440,2.64361
Q3466925,-13.80000,167.46667
Q3467633,54.25210,-165.66200
Q3467667,57.20300,-156.74500
Q3467797,58.41733,-154.45078
Q3467801,61.64030,-152.41100
Q3467803,58.45237,-154.35735
Q3467808,58.60800,-154.02800
Q3467894,58.42970,-154.39100
Q3468027,51.95420,178.32600
Q3468036,54.56890,-164.69800
Q3471590,-35.99339,-70.85156
Q3471599,43.52500,6.93722
Q3528545,-23.97800,-68.12800
Q3528990,21.15400,16.57930
Q3530589,-38.31518,-71.64871
Q3562710,-21.25000,55.80000
Q3562713,-49.49358,69.72447
Q3571838,-43.50000,-72.80000
Q3683240,40.85750,14.19140
Q3695499,36.10000,138.16700
Q3695505,36.95298,139.28716
Q3707308,6.01333,121.05667
Q3742394,36.69943,138.51073
Q3775494,-38.80556,175.90083
Q3861932,54.79944,-163.59123
Q4016618,52.98366,-169.72727
Q4016621,52.07639,-176.11083
Q4054131,53.39582,158.65647
Q4058910,57.50000,160.38333
Q4060178,56.17760,117.46140
Q188698,19.42110,-155.28676
Q248770,-0.07694,-77.65611
Q419255,39.96444,140.75667
Q514392,31.90960,130.88642
Q525281,12.16222,-61.67528
Q546876,10.03333,-83.76667
Q589825,42.54337,140.83897
Q607078,12.50782,-86.70329
Q705288,33.28278,131.39028
Q788862,19.07509,122.20265
Q845239,16.71667,-62.18333
Q1025749,18.22167,122.12333
Q1026302,-41.33278,-72.61111
Q1122340,10.83000,-85.32389
Q1319819,9.20056,124.66806
Q1372968,19.38639,-155.10500
Q1374401,54.50000,159.91667
Q1513696,36.51667,25.49167
Q1529367,13.41611,123.60833
Q1545452,-21.09889,55.47889
Q1646267,7.95500,124.80250
Q1723814,10.41194,123.13194
Q1737932,63.94202,-22.17301
Q1910848,6.43333,125.10833
Q2011085,57.70000,160.41667
Q2160991,35.42440,-111.25990
Q2271725,43.66389,142.85472
Q2401144,-21.37220,55.55110
Q2464010,50.36780,7.36139
Q3211070,-24.43500,-68.40900
Q3389357,-21.38110,55.62250
Q3389368,-21.22740,55.71350
Q3411149,19.37120,-155.20500
Q3468513,55.34090,-162.07300
Q3562734,14.01290,120.99000
Q4180583,52.61667,158.25000
Q4231222,55.08333,160.55000
Q4438597,57.32685,160.03740
Q4475610,54.64310,159.71794
Q5031308,11.06667,124.78333
Q5048949,-0.03404,-78.47872
Q5182621,-36.98650,174.82700
Q5901248,36.61444,47.20167
Q6409302,37.03305,-1.89534
Q6451102,-77.51670,169.26700
Q6748981,-36.94960,174.78310
Q7155534,39.13170,-112.55200
Q7268331,-57.11835,-26.82550
Q8523728,2.15800,98.93000
Q10349421,38.79928,-27.29096
Q11381843,31.77167,130.59167
Q11551830,31.22222,130.60556
Q11603968,31.77556,130.56444
Q12886278,38.18444,26.02333
Q15731532,19.68750,-155.46694
Q16579706,37.87933,15.05623
Q16745734,33.36639,126.35667
Q19286542,33.35990,-5.14270
Q19875408,-36.87817,174.76453
Q20933997,41.17002,22.03677
