id,lat,lon,kind,weight,tag
osm-way-1322129262,-31.30643,-64.58444,A7,0.6,natural=wetland
osm-way-1322129263,-31.29899,-64.58350,A7,0.6,natural=wetland
osm-way-1322129264,-31.29923,-64.58270,A7,0.6,natural=wetland
osm-way-1322129265,-31.29885,-64.58178,A7,0.6,natural=wetland
osm-way-1322124144,-31.30246,-64.57305,A7,0.6,natural=wetland
osm-way-1483901383,-31.31248,-64.48239,A7,0.6,natural=wetland
osm-way-1174472475,-31.33496,-64.46034,A7,0.6,natural=wetland
osm-way-1268865023,-31.33156,-64.45853,A7,0.6,natural=wetland
osm-way-1472859023,-31.33320,-64.45900,A7,0.6,natural=wetland
osm-way-1174694544,-31.32964,-64.45785,A3,0.9,natural=beach
osm-way-1472862495,-31.32247,-64.45732,A7,0.6,natural=wetland
osm-way-1472862494,-31.32470,-64.45716,A7,0.6,natural=wetland
osm-way-438693734,-31.23407,-64.46122,A3,0.9,natural=beach
osm-way-438693971,-31.23449,-64.46291,A3,0.9,natural=beach
osm-way-903896722,-31.13712,-64.49492,A3,0.9,natural=beach
osm-way-1069693536,-26.24904,-58.43513,A7,0.6,natural=wetland
osm-way-1112084529,-26.21346,-58.30705,A7,0.6,natural=wetland
osm-way-1078286466,-26.23965,-58.30279,A7,0.6,natural=wetland
osm-way-1086705459,-26.23742,-58.30076,A7,0.6,natural=wetland
osm-way-1174405886,-26.22376,-58.30151,A7,0.6,natural=wetland
osm-way-1174405889,-26.22720,-58.29976,A7,0.6,natural=wetland
osm-way-1112085576,-26.21667,-58.31227,A7,0.6,natural=wetland
osm-way-1191241736,-26.21443,-58.31966,A7,0.6,natural=wetland
osm-way-1112085574,-26.21899,-58.30390,A7,0.6,natural=wetland
osm-way-1069688343,-26.13505,-58.30137,A7,0.6,natural=wetland
osm-way-1063351108,-26.29920,-58.24476,A7,0.6,natural=wetland
osm-way-1097302730,-26.31406,-58.20123,A7,0.6,natural=wetland
osm-way-1097302732,-26.31654,-58.20284,A7,0.6,natural=wetland
osm-way-1097302734,-26.31886,-58.20112,A7,0.6,natural=wetland
osm-way-1082129746,-26.30078,-58.21422,A7,0.6,natural=wetland
osm-way-1082129747,-26.30954,-58.21674,A7,0.6,natural=wetland
osm-way-1080363679,-26.30267,-58.19771,A7,0.6,natural=wetland
osm-way-1080365340,-26.30267,-58.19771,A7,0.6,natural=wetland
osm-way-1094570791,-26.30737,-58.20097,A7,0.6,natural=wetland
osm-way-1097298973,-26.30880,-58.20480,A7,0.6,natural=wetland
osm-way-1097302729,-26.30796,-58.19570,A7,0.6,natural=wetland
osm-way-1097298974,-26.30987,-58.17966,A7,0.6,natural=wetland
osm-way-1293477880,-26.29943,-58.17545,A7,0.6,natural=wetland
osm-way-1084689196,-26.31620,-58.16907,A7,0.6,natural=wetland
osm-way-1084689195,-26.31836,-58.17186,A7,0.6,natural=wetland
osm-way-1293477881,-26.30533,-58.16696,A7,0.6,natural=wetland
osm-way-1293477882,-26.31164,-58.16509,A7,0.6,natural=wetland
osm-way-1085366683,-26.29289,-58.25457,A7,0.6,natural=wetland
osm-way-1080322967,-26.24933,-58.28700,A7,0.6,natural=wetland
osm-way-1109019517,-26.25017,-58.27510,A7,0.6,natural=wetland
osm-way-1174407873,-26.25516,-58.28369,A7,0.6,natural=wetland
osm-way-1063349044,-26.25146,-58.26780,A7,0.6,natural=wetland
osm-way-1110297779,-26.25552,-58.26593,A7,0.6,natural=wetland
osm-way-1085366679,-26.28971,-58.23741,A7,0.6,natural=wetland
osm-way-1078883367,-26.24852,-58.18973,A7,0.6,natural=wetland
osm-way-1082099789,-26.28289,-58.19309,A7,0.6,natural=wetland
osm-way-1292408751,-26.26076,-58.22920,A7,0.6,natural=wetland
